173 -> 1187 # ('tile.bop.longGrass', 'BiomesOPlenty:longGrass', 'namespace') 
# 21316 -> (None, 'item.60k_NaK_Coolantcell', '60k_NaK_Coolantcell', 'no match')
# 21317 -> (None, 'item.180k_NaK_Coolantcell', '180k_NaK_Coolantcell', 'no match')
# 21318 -> (None, 'item.360k_NaK_Coolantcell', '360k_NaK_Coolantcell', 'no match')
# 21319 -> (None, 'item.GT_Scanner', 'GT_Scanner', 'no match')
# 21320 -> (None, 'item.GT_Crowbar', 'GT_Crowbar', 'no match')
# 21321 -> (None, 'item.GT_Screwdriver', 'GT_Screwdriver', 'no match')
# 21344 -> (None, 'item.GT_File_Steel', 'GT_File_Steel', 'no match')
# 21345 -> (None, 'item.GT_File_Tungstensteel', 'GT_File_Tungstensteel', 'no match')
# 21346 -> (None, 'item.GT_Spray_Bug', 'GT_Spray_Bug', 'no match')
# 21347 -> (None, 'item.GT_Spray_Ice', 'GT_Spray_Ice', 'no match')
# 21348 -> (None, 'item.GT_Spray_Hardener', 'GT_Spray_Hardener', 'no match')
# 21349 -> (None, 'item.GT_Spray_Foam', 'GT_Spray_Foam', 'no match')
# 21350 -> (None, 'item.GT_Spray_Pepper', 'GT_Spray_Pepper', 'no match')
# 21351 -> (None, 'item.GT_Spray_Hydration', 'GT_Spray_Hydration', 'no match')
# 21352 -> (None, 'item.GT_Spray_00', 'GT_Spray_00', 'no match')
# 21353 -> (None, 'item.GT_Spray_01', 'GT_Spray_01', 'no match')
# 21354 -> (None, 'item.GT_Spray_02', 'GT_Spray_02', 'no match')
# 21355 -> (None, 'item.GT_Spray_03', 'GT_Spray_03', 'no match')
# 21356 -> (None, 'item.GT_Spray_04', 'GT_Spray_04', 'no match')
# 21357 -> (None, 'item.GT_Spray_05', 'GT_Spray_05', 'no match')
# 21358 -> (None, 'item.GT_Spray_06', 'GT_Spray_06', 'no match')
# 21359 -> (None, 'item.GT_Spray_07', 'GT_Spray_07', 'no match')
# 21360 -> (None, 'item.GT_Spray_08', 'GT_Spray_08', 'no match')
# 21361 -> (None, 'item.GT_Spray_09', 'GT_Spray_09', 'no match')
# 21362 -> (None, 'item.GT_Spray_10', 'GT_Spray_10', 'no match')
# 21363 -> (None, 'item.GT_Spray_11', 'GT_Spray_11', 'no match')
# 21364 -> (None, 'item.GT_Spray_12', 'GT_Spray_12', 'no match')
# 21365 -> (None, 'item.GT_Spray_13', 'GT_Spray_13', 'no match')
# 21366 -> (None, 'item.GT_Spray_14', 'GT_Spray_14', 'no match')
# 21367 -> (None, 'item.GT_Spray_15', 'GT_Spray_15', 'no match')
# 21368 -> (None, 'item.Empty_Electric_Wrench', 'Empty_Electric_Wrench', 'no match')
# 21369 -> (None, 'item.Empty_Advanced_Wrench', 'Empty_Advanced_Wrench', 'no match')
# 21370 -> (None, 'item.Empty_Soldering_Tool', 'Empty_Soldering_Tool', 'no match')
# 21371 -> (None, 'item.GT_Saw_Iron', 'GT_Saw_Iron', 'no match')
# 21372 -> (None, 'item.GT_Saw_Bronze', 'GT_Saw_Bronze', 'no match')
# 21373 -> (None, 'item.GT_Saw_Steel', 'GT_Saw_Steel', 'no match')
# 21374 -> (None, 'item.GT_Saw_Tungstensteel', 'GT_Saw_Tungstensteel', 'no match')
# 21375 -> (None, 'item.GT_Saw_Electric', 'GT_Saw_Electric', 'no match')
# 21376 -> (None, 'item.GT_Saw_Advanced', 'GT_Saw_Advanced', 'no match')
# 21377 -> (None, 'item.Empty_Electric_Saw', 'Empty_Electric_Saw', 'no match')
# 21378 -> (None, 'item.Empty_Advanced_Saw', 'Empty_Advanced_Saw', 'no match')
# 21379 -> (None, 'item.GT_Drill_Advanced', 'GT_Drill_Advanced', 'no match')
# 21380 -> (None, 'item.Empty_Advanced_Drill', 'Empty_Advanced_Drill', 'no match')
# 21381 -> (None, 'item.GT_File_Iron', 'GT_File_Iron', 'no match')
# 21382 -> (None, 'item.GT_Hammer_Bronze', 'GT_Hammer_Bronze', 'no match')
# 21383 -> (None, 'item.GT_Hammer_Iron', 'GT_Hammer_Iron', 'no match')
# 21384 -> (None, 'item.GT_Hammer_Rubber', 'GT_Hammer_Rubber', 'no match')
# 21385 -> (None, 'item.GT_Hammer_Steel', 'GT_Hammer_Steel', 'no match')
# 21386 -> (None, 'item.GT_Hammer_Tungstensteel', 'GT_Hammer_Tungstensteel', 'no match')
# 21387 -> (None, 'item.GT_Lava_Filter', 'GT_Lava_Filter', 'no match')
# 21388 -> (None, 'item.GT_SolderingLead', 'GT_SolderingLead', 'no match')
# 21389 -> (None, 'item.GT_SolderingTin', 'GT_SolderingTin', 'no match')
# 21390 -> (None, 'item.GT_SolderingTool', 'GT_SolderingTool', 'no match')
# 21391 -> (None, 'item.GT_Turbine_Bronze', 'GT_Turbine_Bronze', 'no match')
# 21392 -> (None, 'item.GT_Turbine_Carbon', 'GT_Turbine_Carbon', 'no match')
# 21393 -> (None, 'item.GT_Turbine_Magnalium', 'GT_Turbine_Magnalium', 'no match')
# 21394 -> (None, 'item.GT_Turbine_Steel', 'GT_Turbine_Steel', 'no match')
# 21395 -> (None, 'item.GT_Turbine_Tungstensteel', 'GT_Turbine_Tungstensteel', 'no match')
# 21396 -> (None, 'item.GT_Wrench_Advanced', 'GT_Wrench_Advanced', 'no match')
# 21397 -> (None, 'item.GT_Wrench_Bronze', 'GT_Wrench_Bronze', 'no match')
# 21398 -> (None, 'item.GT_Wrench_Electric', 'GT_Wrench_Electric', 'no match')
# 21399 -> (None, 'item.GT_Wrench_Iron', 'GT_Wrench_Iron', 'no match')
# 21400 -> (None, 'item.GT_Wrench_Steel', 'GT_Wrench_Steel', 'no match')
# 21401 -> (None, 'item.GT_Wrench_TungstenSteel', 'GT_Wrench_TungstenSteel', 'no match')
# 21402 -> (None, 'item.GT_File_Bronze', 'GT_File_Bronze', 'no match')
# 21406 -> (None, 'item.wandTinkerer', 'wandTinkerer', 'no match')
# 21407 -> (None, 'item.glowstoneGas', 'glowstoneGas', 'no match')
# 21408 -> (None, 'item.spellCloth', 'spellCloth', 'no match')
# 21409 -> (None, 'item.stopwatch', 'stopwatch', 'no match')
# 21410 -> (None, 'item.wandDislocation', 'wandDislocation', 'no match')
# 21411 -> (None, 'item.nametag', 'nametag', 'no match')
21412 -> 9332 # ('item.xpTalisman', 'ThaumicTinkerer:xpTalisman', 'anyspace') 
# 21413 -> (None, 'item.fireBracelet', 'fireBracelet', 'no match')
21414 -> 3068 # ('item.darkQuartz', 'ThaumicTinkerer:darkQuartz', 'anyspace') 
# 21415 -> (None, 'item.teleportSigil', 'teleportSigil', 'no match')
# 21416 -> (None, 'item.wandUprising', 'wandUprising', 'no match')
# 21417 -> (None, 'item.swordCondor', 'swordCondor', 'no match')
# 21418 -> (None, 'item.deathRune', 'deathRune', 'no match')
# 21419 -> (None, 'item.silkSword', 'silkSword', 'no match')
# 21420 -> (None, 'item.fortuneMaul', 'fortuneMaul', 'no match')
# 21421 -> (None, 'item.enderMirror', 'enderMirror', 'no match')
# 21422 -> (None, 'item.goliathLegs', 'goliathLegs', 'no match')
# 21423 -> (None, 'item.darkGas', 'darkGas', 'no match')
21424 -> 9346 # ('item.gasRemover', 'ThaumicTinkerer:gasRemover', 'anyspace') 
# 21425 -> (None, 'item.fluxDetector', 'fluxDetector', 'no match')
21426 -> 9358 # ('item.cleansingTalisman', 'ThaumicTinkerer:cleansingTalisman', 'anyspace') 
# 21427 -> (None, 'item.dummyEnchantbook', 'dummyEnchantbook', 'no match')
# 21428 -> (None, 'item.researchShareBook', 'researchShareBook', 'no match')
21429 -> 9343 # ('item.brightNitor', 'ThaumicTinkerer:brightNitor', 'anyspace') 
# 21430 -> (None, 'item.rune', 'rune', 'no match')
# 21431 -> (None, 'item.scythe', 'scythe', 'no match')
# 21432 -> (None, 'item.rainwaterBottle', 'rainwaterBottle', 'no match')
# 21433 -> (None, 'item.weatherCrystal', 'weatherCrystal', 'no match')
# 21434 -> (None, 'item.lovePotion', 'lovePotion', 'no match')
21435 -> 9337 # ('item.soulMould', 'ThaumicTinkerer:soulMould', 'anyspace') 
21436 -> 9352 # ('item.connector', 'ThaumicTinkerer:connector', 'anyspace') 
# 21437 -> (None, 'item.iceGlobe', 'iceGlobe', 'no match')
# 22256 -> (None, 'item.null_________________________________________________________', 'null_________________________________________________________', 'no match')
# 22257 -> (None, 'item.Aquaculture:Seaweed', 'Aquaculture:item.:Seaweed', 'no match')
# 22258 -> (None, 'item.Aquaculture:Algae', 'Aquaculture:item.:Algae', 'no match')
# 22259 -> (None, 'item.Aquaculture:RawWhaleSteak', 'Aquaculture:item.:RawWhaleSteak', 'no match')
# 22260 -> (None, 'item.Aquaculture:RawFishFillet', 'Aquaculture:item.:RawFishFillet', 'no match')
# 22261 -> (None, 'item.Aquaculture:CookedWhaleSteak', 'Aquaculture:item.:CookedWhaleSteak', 'no match')
# 22262 -> (None, 'item.Aquaculture:CookedFishFillet', 'Aquaculture:item.:CookedFishFillet', 'no match')
# 22263 -> (None, 'item.Aquaculture:Whaleburger', 'Aquaculture:item.:Whaleburger', 'no match')
# 22264 -> (None, 'item.Aquaculture:Driftwood', 'Aquaculture:item.:Driftwood', 'no match')
# 22265 -> (None, 'item.Aquaculture:NeptuniumIngot', 'Aquaculture:item.:NeptuniumIngot', 'no match')
# 22266 -> (None, 'item.Aquaculture:TinCan', 'Aquaculture:item.:TinCan', 'no match')
# 22267 -> (None, 'item.Aquaculture:MessageInABottle', 'Aquaculture:item.:MessageInABottle', 'no match')
# 22268 -> (None, 'item.Aquaculture:Box', 'Aquaculture:item.:Box', 'no match')
# 22269 -> (None, 'item.Aquaculture:Lockbox', 'Aquaculture:item.:Lockbox', 'no match')
# 22270 -> (None, 'item.Aquaculture:TreasureChest', 'Aquaculture:item.:TreasureChest', 'no match')
# 22271 -> (None, 'item.Aquaculture:NeptuniumPickaxe', 'Aquaculture:item.:NeptuniumPickaxe', 'no match')
# 22272 -> (None, 'item.Aquaculture:NeptuniumShovel', 'Aquaculture:item.:NeptuniumShovel', 'no match')
# 22273 -> (None, 'item.Aquaculture:NeptuniumAxe', 'Aquaculture:item.:NeptuniumAxe', 'no match')
# 22274 -> (None, 'item.Aquaculture:NeptuniumHoe', 'Aquaculture:item.:NeptuniumHoe', 'no match')
# 22275 -> (None, 'item.Aquaculture:NeptuniumSword', 'Aquaculture:item.:NeptuniumSword', 'no match')
# 22276 -> (None, 'item.Aquaculture:NeptuniumHelmet', 'Aquaculture:item.:NeptuniumHelmet', 'no match')
# 22277 -> (None, 'item.Aquaculture:NeptuniumPlate', 'Aquaculture:item.:NeptuniumPlate', 'no match')
# 22278 -> (None, 'item.Aquaculture:NeptuniumLegs', 'Aquaculture:item.:NeptuniumLegs', 'no match')
# 22279 -> (None, 'item.Aquaculture:NeptuniumBoots', 'Aquaculture:item.:NeptuniumBoots', 'no match')
# 22280 -> (None, 'item.Aquaculture:IronFishingRod', 'Aquaculture:item.:IronFishingRod', 'no match')
# 22478 -> (None, 'item.tapeMeasure', 'tapeMeasure', 'no match')
22479 -> 7251 # ('item.tape', 'StorageDrawers:tape', 'anyspace') 
# 22480 -> (None, 'item.BiblioChase', 'BiblioChase', 'no match')
# 22481 -> (None, 'item.PrintPlate', 'PrintPlate', 'no match')
# 22482 -> (None, 'item.BiblioRedBook', 'BiblioRedBook', 'no match')
# 22483 -> (None, 'item.BiblioGlasses', 'BiblioGlasses', 'no match')
# 22484 -> (None, 'item.EnchantedPlate', 'EnchantedPlate', 'no match')
23256 -> 6338 # ('item.BiplaneWing', 'flansmod:biplaneWing', 'anyspace') 
23257 -> 6372 # ('item.WoodenTail', 'flansmod:woodenTail', 'anyspace') 
23258 -> 6371 # ('item.WoodenPropeller', 'flansmod:woodenPropeller', 'anyspace') 
23259 -> 6373 # ('item.WoodenWing', 'flansmod:woodenWing', 'anyspace') 
23260 -> 6362 # ('item.Wheel', 'flansmod:wheel', 'anyspace') 
23261 -> 6352 # ('item.MetalTail', 'flansmod:metalTail', 'anyspace') 
23262 -> 6339 # ('item.BombBay', 'flansmod:bombBay', 'anyspace') 
23265 -> 6349 # ('item.MetalCockpit', 'flansmod:metalCockpit', 'anyspace') 
23268 -> 6366 # ('item.TriplaneWing', 'flansmod:triplaneWing', 'anyspace') 
23269 -> 6370 # ('item.WoodenCockpit', 'flansmod:woodenCockpit', 'anyspace') 
# 23271 -> (None, 'item.Bomb', 'Bomb', 'no match')
# 23272 -> (None, 'item.BigBomb', 'BigBomb', 'no match')
23273 -> 6414 # ('item.Napalm', 'flansmod:napalm', 'anyspace') 
23274 -> 6367 # ('item.V4Engine', 'flansmod:v4Engine', 'anyspace') 
23275 -> 6368 # ('item.V6Engine', 'flansmod:v6Engine', 'anyspace') 
23277 -> 6369 # ('item.V8Engine', 'flansmod:v8Engine', 'anyspace') 
23278 -> 6358 # ('item.RotaryEngine', 'flansmod:rotaryEngine', 'anyspace') 
23279 -> 6356 # ('item.EnginePiston', 'flansmod:enginePiston', 'anyspace') 
23280 -> 6355 # ('item.PassengerBay', 'flansmod:passengerBay', 'anyspace') 
23281 -> 6351 # ('item.MetalPropeller', 'flansmod:metalPropeller', 'anyspace') 
23285 -> 6335 # ('item.AABarrel', 'flansmod:aaBarrel', 'anyspace') 
23286 -> 6465 # ('item.Flakvierling', 'flansmod:flakvierling', 'anyspace') 
23287 -> 6483 # ('item.Bofors', 'flansmod:bofors', 'anyspace') 
23289 -> 6353 # ('item.MetalWingSection', 'flansmod:metalWingSection', 'anyspace') 
23290 -> 6343 # ('item.FuelCan', 'flansmod:fuelCan', 'anyspace') 
23299 -> 6354 # ('item.MetalWingSmall', 'flansmod:metalWingSmall', 'anyspace') 
23317 -> 6502 # ('item.Biplane', 'flansmod:Biplane', 'anyspace') 
23318 -> 6506 # ('item.Fokker', 'flansmod:Fokker', 'anyspace') 
23319 -> 6505 # ('item.Camel', 'flansmod:Camel', 'anyspace') 
23320 -> 6509 # ('item.Spitfire', 'flansmod:Spitfire', 'anyspace') 
# 23321 -> (None, 'item.TwoSeaterBiplane', 'TwoSeaterBiplane', 'no match')
23323 -> 6504 # ('item.BF109', 'flansmod:BF109', 'anyspace') 
23324 -> 6508 # ('item.Mustang', 'flansmod:Mustang', 'anyspace') 
23325 -> 6507 # ('item.Lancaster', 'flansmod:Lancaster', 'anyspace') 
# 23456 -> (None, 'item.SmallCarChassis', 'SmallCarChassis', 'no match')
23457 -> 6363 # ('item.TankBarrel', 'flansmod:tankBarrel', 'anyspace') 
23458 -> 6365 # ('item.TankTurret', 'flansmod:tankTurret', 'anyspace') 
23459 -> 6364 # ('item.TankBody', 'flansmod:tankBody', 'anyspace') 
# 23460 -> (None, 'item.TrackPiece', 'TrackPiece', 'no match')
23461 -> 6340 # ('item.CatTrack', 'flansmod:catTrack', 'anyspace') 
# 23462 -> (None, 'item.TankShell', 'TankShell', 'no match')
# 23487 -> (None, 'item.Kubelwagen', 'Kubelwagen', 'no match')
23488 -> 6490 # ('item.Jeep', 'flansmod:Jeep', 'anyspace') 
23489 -> 6497 # ('item.Sherman', 'flansmod:Sherman', 'anyspace') 
23490 -> 6495 # ('item.Panzer', 'flansmod:Panzer', 'anyspace') 
23540 -> 6333 # ('item.opStick', 'flansmod:opStick', 'anyspace') 
23544 -> 6385 # ('item.flakvierlingAmmo', 'flansmod:flakvierlingAmmo', 'anyspace') 
23545 -> 6378 # ('item.boforsAmmo', 'flansmod:boforsAmmo', 'anyspace') 
23556 -> 6397 # ('item.mp40Ammo', 'flansmod:mp40Ammo', 'anyspace') 
23557 -> 6448 # ('item.mp40', 'flansmod:mp40', 'anyspace') 
23558 -> 6398 # ('item.mp44Ammo', 'flansmod:mp44Ammo', 'anyspace') 
23559 -> 6449 # ('item.mp44', 'flansmod:mp44', 'anyspace') 
23560 -> 6388 # ('item.kar98kAmmo', 'flansmod:kar98kAmmo', 'anyspace') 
23561 -> 6436 # ('item.kar98k', 'flansmod:kar98k', 'anyspace') 
23562 -> 6437 # ('item.kar98kSniper', 'flansmod:kar98kSniper', 'anyspace') 
23563 -> 6390 # ('item.lugerAmmo', 'flansmod:lugerAmmo', 'anyspace') 
23564 -> 6441 # ('item.luger', 'flansmod:luger', 'anyspace') 
23565 -> 6400 # ('item.panzerschreckAmmo', 'flansmod:panzerschreckAmmo', 'anyspace') 
23566 -> 6451 # ('item.panzerschreck', 'flansmod:panzerschreck', 'anyspace') 
23567 -> 6395 # ('item.MG42Ammo50', 'flansmod:mg42Ammo50', 'anyspace') 
23568 -> 6394 # ('item.MG42Ammo250', 'flansmod:mg42Ammo250', 'anyspace') 
23569 -> 6445 # ('item.MG42', 'flansmod:mg42', 'anyspace') 
23577 -> 6536 # ('item.GermanDesertHelmet', 'flansmod:germanDesertHelmet', 'anyspace') 
23578 -> 6535 # ('item.GermanDesertCoat', 'flansmod:germanDesertCoat', 'anyspace') 
23579 -> 6537 # ('item.GermanDesertPants', 'flansmod:germanDesertPants', 'anyspace') 
23580 -> 6534 # ('item.GermanDesertBoots', 'flansmod:germanDesertBoots', 'anyspace') 
23581 -> 6542 # ('item.GermanHelmet', 'flansmod:germanHelmet', 'anyspace') 
23582 -> 6533 # ('item.GermanCoat', 'flansmod:germanCoat', 'anyspace') 
23583 -> 6543 # ('item.GermanPants', 'flansmod:germanPants', 'anyspace') 
23584 -> 6532 # ('item.GermanBoots', 'flansmod:germanBoots', 'anyspace') 
23586 -> 6404 # ('item.stenAmmo', 'flansmod:stenAmmo', 'anyspace') 
23587 -> 6455 # ('item.sten', 'flansmod:sten', 'anyspace') 
23588 -> 6389 # ('item.leeEnfieldAmmo', 'flansmod:leeEnfieldAmmo', 'anyspace') 
23589 -> 6439 # ('item.leeEnfield', 'flansmod:leeEnfield', 'anyspace') 
23590 -> 6440 # ('item.leeEnfieldSniper', 'flansmod:leeEnfieldSniper', 'anyspace') 
23591 -> 6412 # ('item.webleyAmmo', 'flansmod:webleyAmmo', 'anyspace') 
23592 -> 6464 # ('item.webley', 'flansmod:webley', 'anyspace') 
23593 -> 6401 # ('item.PIATAmmo', 'flansmod:PIATAmmo', 'anyspace') 
23594 -> 6452 # ('item.PIAT', 'flansmod:PIAT', 'anyspace') 
23595 -> 6380 # ('item.BrenAmmo30', 'flansmod:brenAmmo30', 'anyspace') 
23596 -> 6379 # ('item.BrenAmmo100', 'flansmod:brenAmmo100', 'anyspace') 
23597 -> 6429 # ('item.Bren', 'flansmod:bren', 'anyspace') 
23607 -> 6528 # ('item.BritishDesertHelmet', 'flansmod:britishDesertHelmet', 'anyspace') 
23608 -> 6527 # ('item.BritishDesertCoat', 'flansmod:britishDesertCoat', 'anyspace') 
23609 -> 6529 # ('item.BritishDesertPants', 'flansmod:britishDesertPants', 'anyspace') 
23610 -> 6526 # ('item.BritishDesertBoots', 'flansmod:britishDesertBoots', 'anyspace') 
23611 -> 6530 # ('item.BritishHelmet', 'flansmod:britishHelmet', 'anyspace') 
23612 -> 6525 # ('item.BritishCoat', 'flansmod:britishCoat', 'anyspace') 
23613 -> 6531 # ('item.BritishPants', 'flansmod:britishPants', 'anyspace') 
23614 -> 6524 # ('item.BritishBoots', 'flansmod:britishBoots', 'anyspace') 
23616 -> 6391 # ('item.m1CarbineAmmo', 'flansmod:m1CarbineAmmo', 'anyspace') 
23617 -> 6442 # ('item.m1Carbine', 'flansmod:m1Carbine', 'anyspace') 
23618 -> 6392 # ('item.m1GarandAmmo', 'flansmod:m1GarandAmmo', 'anyspace') 
23619 -> 6443 # ('item.m1Garand', 'flansmod:m1Garand', 'anyspace') 
23620 -> 6405 # ('item.thompsonAmmo', 'flansmod:thompsonAmmo', 'anyspace') 
23621 -> 6456 # ('item.thompson', 'flansmod:thompson', 'anyspace') 
23622 -> 6376 # ('item.BARAmmo', 'flansmod:BARAmmo', 'anyspace') 
23623 -> 6426 # ('item.BAR', 'flansmod:BAR', 'anyspace') 
23624 -> 6403 # ('item.springfieldAmmo', 'flansmod:springfieldAmmo', 'anyspace') 
23625 -> 6454 # ('item.springfield', 'flansmod:springfield', 'anyspace') 
# 23626 -> (None, 'item.lugerAmmo_', 'lugerAmmo_', 'no match')
23627 -> 6431 # ('item.colt', 'flansmod:colt', 'anyspace') 
23628 -> 6377 # ('item.bazookaAmmo', 'flansmod:bazookaAmmo', 'anyspace') 
23629 -> 6427 # ('item.bazooka', 'flansmod:bazooka', 'anyspace') 
# 23630 -> (None, 'item.MG42Ammo250_', 'MG42Ammo250_', 'no match')
23631 -> 6430 # ('item.Browning', 'flansmod:browning', 'anyspace') 
23641 -> 6518 # ('item.AmericanHelmet', 'flansmod:americanHelmet', 'anyspace') 
23642 -> 6517 # ('item.AmericanCoat', 'flansmod:americanCoat', 'anyspace') 
23643 -> 6519 # ('item.AmericanPants', 'flansmod:americanPants', 'anyspace') 
23644 -> 6516 # ('item.AmericanBoots', 'flansmod:americanBoots', 'anyspace') 
23646 -> 6411 # ('item.Type99Ammo', 'flansmod:type99Ammo', 'anyspace') 
23647 -> 6463 # ('item.Type99', 'flansmod:type99', 'anyspace') 
23648 -> 6410 # ('item.Type38Ammo', 'flansmod:type38Ammo', 'anyspace') 
23649 -> 6461 # ('item.Type38', 'flansmod:type38', 'anyspace') 
23650 -> 6408 # ('item.Type100Ammo', 'flansmod:type100Ammo', 'anyspace') 
23651 -> 6459 # ('item.Type100', 'flansmod:type100', 'anyspace') 
23652 -> 6462 # ('item.Type38Sniper', 'flansmod:type38Sniper', 'anyspace') 
23661 -> 6550 # ('item.JapaneseHelmet', 'flansmod:japaneseHelmet', 'anyspace') 
23662 -> 6549 # ('item.JapaneseCoat', 'flansmod:japaneseCoat', 'anyspace') 
23663 -> 6551 # ('item.JapanesePants', 'flansmod:japanesePants', 'anyspace') 
23664 -> 6548 # ('item.JapaneseBoots', 'flansmod:japaneseBoots', 'anyspace') 
# 23666 -> (None, 'item.MosinNagantAmmo', 'MosinNagantAmmo', 'no match')
# 23667 -> (None, 'item.MosinNagant', 'MosinNagant', 'no match')
# 23668 -> (None, 'item.MosinNagantSniper', 'MosinNagantSniper', 'no match')
23669 -> 6402 # ('item.PPSHAmmo', 'flansmod:ppshAmmo', 'anyspace') 
23670 -> 6453 # ('item.PPSH', 'flansmod:ppsh', 'anyspace') 
# 23671 -> (None, 'item.lugerAmmo__', 'lugerAmmo__', 'no match')
23672 -> 6458 # ('item.TT33', 'flansmod:tt33', 'anyspace') 
23673 -> 6383 # ('item.DP28Ammo', 'flansmod:dp28Ammo', 'anyspace') 
23674 -> 6432 # ('item.DP28', 'flansmod:dp28', 'anyspace') 
23691 -> 6554 # ('item.RussianHelmet', 'flansmod:russianHelmet', 'anyspace') 
23692 -> 6553 # ('item.RussianCoat', 'flansmod:russianCoat', 'anyspace') 
23693 -> 6555 # ('item.RussianPants', 'flansmod:russianPants', 'anyspace') 
23694 -> 6552 # ('item.RussianBoots', 'flansmod:russianBoots', 'anyspace') 
23696 -> 6428 # ('item.WW2Binoculars', 'flansmod:ww2Binoculars', 'anyspace') 
23697 -> 6438 # ('item.WW2Knife', 'flansmod:ww2Knife', 'anyspace') 
23710 -> 6374 # ('item.CrossbowBolt', 'flansmod:crossbowBolt', 'anyspace') 
# 23711 -> (None, 'item.Crossbow', 'Crossbow', 'no match')
# 23797 -> (None, 'item.flagpole', 'flagpole', 'no match')
# 25026 -> (None, 'item.null__________________________________________________________', 'null__________________________________________________________', 'no match')
# 25027 -> (None, 'item.powerArmorHelmet', 'powerArmorHelmet', 'no match')
# 25028 -> (None, 'item.powerArmorChestplate', 'powerArmorChestplate', 'no match')
# 25029 -> (None, 'item.powerArmorLeggings', 'powerArmorLeggings', 'no match')
# 25030 -> (None, 'item.powerArmorBoots', 'powerArmorBoots', 'no match')
# 25031 -> (None, 'item.powerFist', 'powerFist', 'no match')
# 25116 -> (None, 'item.immibis/lxp:bucket', 'immibis/lxp:bucket', 'no match')
# 25256 -> (None, 'item.WandCastingApprentice', 'WandCastingApprentice', 'no match')
# 25257 -> (None, 'item.WandCastingAdept', 'WandCastingAdept', 'no match')
# 25258 -> (None, 'item.WandCastingMage', 'WandCastingMage', 'no match')
# 25259 -> (None, 'item.WandFire', 'WandFire', 'no match')
# 25260 -> (None, 'item.WandLightning', 'WandLightning', 'no match')
25261 -> 4581 # ('item.ItemEssence', 'Thaumcraft:ItemEssence', 'anyspace') 
25262 -> 4583 # ('item.ItemWispEssence', 'Thaumcraft:ItemWispEssence', 'anyspace') 
25263 -> 4584 # ('item.ItemResource', 'Thaumcraft:ItemResource', 'anyspace') 
25264 -> 4585 # ('item.ItemShard', 'Thaumcraft:ItemShard', 'anyspace') 
25265 -> 4586 # ('item.ItemResearchNotes', 'Thaumcraft:ItemResearchNotes', 'anyspace') 
25266 -> 4587 # ('item.ItemInkwell', 'Thaumcraft:ItemInkwell', 'anyspace') 
25267 -> 4588 # ('item.ItemThaumonomicon', 'Thaumcraft:ItemThaumonomicon', 'anyspace') 
# 25268 -> (None, 'item.ItemPortableHole', 'ItemPortableHole', 'no match')
25269 -> 4589 # ('item.ItemThaumometer', 'Thaumcraft:ItemThaumometer', 'anyspace') 
25271 -> 4622 # ('item.ItemGolemPlacer', 'Thaumcraft:ItemGolemPlacer', 'anyspace') 
25272 -> 4590 # ('item.ItemGoggles', 'Thaumcraft:ItemGoggles', 'anyspace') 
25273 -> 4591 # ('item.ItemHelmetThaumium', 'Thaumcraft:ItemHelmetThaumium', 'anyspace') 
25274 -> 4592 # ('item.ItemChestplateThaumium', 'Thaumcraft:ItemChestplateThaumium', 'anyspace') 
25275 -> 4593 # ('item.ItemLeggingsThaumium', 'Thaumcraft:ItemLeggingsThaumium', 'anyspace') 
25276 -> 4594 # ('item.ItemBootsThaumium', 'Thaumcraft:ItemBootsThaumium', 'anyspace') 
25277 -> 4595 # ('item.ItemShovelThaumium', 'Thaumcraft:ItemShovelThaumium', 'anyspace') 
25278 -> 4596 # ('item.ItemPickThaumium', 'Thaumcraft:ItemPickThaumium', 'anyspace') 
25279 -> 4597 # ('item.ItemAxeThaumium', 'Thaumcraft:ItemAxeThaumium', 'anyspace') 
25280 -> 4598 # ('item.ItemSwordThaumium', 'Thaumcraft:ItemSwordThaumium', 'anyspace') 
25281 -> 4599 # ('item.ItemHoeThaumium', 'Thaumcraft:ItemHoeThaumium', 'anyspace') 
25282 -> 4623 # ('item.ItemGolemCore', 'Thaumcraft:ItemGolemCore', 'anyspace') 
# 25283 -> (None, 'item.WandTrade', 'WandTrade', 'no match')
# 25284 -> (None, 'item.WandExcavation', 'WandExcavation', 'no match')
25285 -> 4600 # ('item.ItemArcaneDoor', 'Thaumcraft:ItemArcaneDoor', 'anyspace') 
25286 -> 4601 # ('item.ItemNugget', 'Thaumcraft:ItemNugget', 'anyspace') 
25287 -> 4602 # ('item.BootsTraveller', 'Thaumcraft:BootsTraveller', 'anyspace') 
25288 -> 4603 # ('item.ItemNuggetChicken', 'Thaumcraft:ItemNuggetChicken', 'anyspace') 
25289 -> 4604 # ('item.ItemNuggetBeef', 'Thaumcraft:ItemNuggetBeef', 'anyspace') 
25290 -> 4605 # ('item.ItemNuggetPork', 'Thaumcraft:ItemNuggetPork', 'anyspace') 
25291 -> 4619 # ('item.BlockJarFilledItem', 'Thaumcraft:BlockJarFilledItem', 'anyspace') 
25292 -> 4626 # ('item.ItemGolemDecoration', 'Thaumcraft:ItemGolemDecoration', 'anyspace') 
# 25293 -> (None, 'item.Hellrod', 'Hellrod', 'no match')
# 25294 -> (None, 'item.WandFrost', 'WandFrost', 'no match')
25295 -> 4607 # ('item.TripleMeatTreat', 'Thaumcraft:TripleMeatTreat', 'anyspace') 
